No,Operator,Name,Description,Normal Price,Price,Discount
1,XL,"Xtra Hotrod Special 2GB, 7hr",Kuota Utama 500MB + Kuota Area hingga 3.5GB + YouTube 24jam 1.5GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,12000,11200,800
2,XL,"Xtra Hotrod Special 3GB, 7hr",Kuota Utama 1GB + Kuota Area hingga 6GB + YouTube 24jam 2GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,15000,14000,1000
3,Axis,BRONET Mini 1.5GB 7 hari,Kuota Internet 1.5GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,14850,13973,877
4,Telkomsel,"Telkomsel Data Flash 1GB, 30Hr","Kuota utama 1GB, masa aktif 30 Hari",24280,23550,730
5,Axis,BRONET Mini 2GB 7 hari,Kuota Internet 2GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,18849,16357,2492
6,XL,"Xtra Hotrod Special 4.5GB, 7hr",Kuota Utama 1.5GB + Kuota Area hingga 8.5GB + YouTube 24jam 3GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,20000,18725,1275
7,Axis,AIGO Bronet Mini 3GB 15hr,"Kuota Utama 3GB, Kuota Lokal mulai 2GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",22900,21050,1850
8,Axis,Paket Internet Axis BRONET 2GB 60 Hari,Kuota 2GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,29400,26875,2525
9,Axis,BRONET Mini 5GB 7 hari,Kuota Internet 5GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,29900,26300,3600
10,Axis,BRONET Mini 8GB 7 hari,Kuota Internet 8GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,34900,32450,2450
11,Axis,Paket Internet Axis BRONET 3GB 60 Hari NEW!,Kuota 3GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,36999,33850,3149
